,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,SUBINIT
0,[[6]],[[1]],[[9]],['low holistic'],['right'],['upright'],[],[],[[4]],JO
1,[[6]],[[2]],[[15]],['high holistic'],['left'],['upright'],[],[],[[12]],JO
2,[[6]],[[3]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
3,[[6]],[[4]],[[13]],['high holistic'],['right'],['upright'],[],[],[[12]],JO
4,[[6]],[[5]],[[3]],['high holistic'],['left'],['inverted'],[],[],[[4]],JO
5,[[6]],[[6]],[[8]],['high holistic'],['right'],['inverted'],[],[],[[10]],JO
6,[[6]],[[7]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[2]],JO
7,[[6]],[[8]],[[2]],['low holistic'],['right'],['upright'],[],[],[[4]],JO
8,[[6]],[[9]],[[6]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
9,[[6]],[[10]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[4]],JO
10,[[6]],[[11]],[[11]],['high holistic'],['right'],['inverted'],[],[],[[12]],JO
11,[[6]],[[12]],[[13]],['low holistic'],['left'],['inverted'],[],[],[[2]],JO
12,[[6]],[[13]],[[8]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
13,[[6]],[[14]],[[3]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
14,[[6]],[[15]],[[13]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
15,[[6]],[[16]],[[9]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
16,[[6]],[[17]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
17,[[6]],[[18]],[[1]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
18,[[6]],[[19]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
19,[[6]],[[20]],[[6]],['high holistic'],['fovea'],['upright'],[],[],[[0]],JO
20,[[6]],[[21]],[[3]],['low holistic'],['left'],['upright'],[],[],[[12]],JO
21,[[6]],[[22]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
22,[[6]],[[23]],[[11]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
23,[[6]],[[24]],[[20]],['low holistic'],['left'],['upright'],[],[],[[2]],JO
24,[[6]],[[25]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[6]],JO
25,[[6]],[[26]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
26,[[6]],[[27]],[[14]],['high holistic'],['right'],['upright'],[],[],[[2]],JO
27,[[6]],[[28]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[6]],JO
28,[[6]],[[29]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
29,[[6]],[[30]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[4]],JO
30,[[6]],[[31]],[[19]],['low holistic'],['fovea'],['upright'],[],[],[[0]],JO
31,[[6]],[[32]],[[12]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
32,[[6]],[[33]],[[14]],['high holistic'],['right'],['inverted'],[],[],[[8]],JO
33,[[6]],[[34]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],JO
34,[[6]],[[35]],[[14]],['high holistic'],['left'],['upright'],[],[],[[8]],JO
35,[[6]],[[36]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
36,[[6]],[[37]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
37,[[6]],[[38]],[[2]],['high holistic'],['right'],['upright'],[],[],[[12]],JO
38,[[6]],[[39]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
39,[[6]],[[40]],[[5]],['high holistic'],['right'],['inverted'],[],[],[[6]],JO
40,[[6]],[[41]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
41,[[6]],[[42]],[[3]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
42,[[6]],[[43]],[[19]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
43,[[6]],[[44]],[[1]],['high holistic'],['left'],['upright'],[],[],[[6]],JO
44,[[6]],[[45]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
45,[[6]],[[46]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],JO
46,[[6]],[[47]],[[18]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
47,[[6]],[[48]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[4]],JO
48,[[6]],[[49]],[[18]],['low holistic'],['left'],['upright'],[],[],[[10]],JO
49,[[6]],[[50]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
50,[[6]],[[51]],[[5]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
51,[[6]],[[52]],[[3]],['low holistic'],['left'],['upright'],[],[],[[10]],JO
52,[[6]],[[53]],[[10]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],JO
53,[[6]],[[54]],[[18]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
54,[[6]],[[55]],[[3]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
55,[[6]],[[56]],[[20]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
56,[[6]],[[57]],[[16]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
57,[[6]],[[58]],[[20]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
58,[[6]],[[59]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
59,[[6]],[[60]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[6]],JO
60,[[6]],[[61]],[[5]],['high holistic'],['left'],['upright'],[],[],[[6]],JO
61,[[6]],[[62]],[[6]],['high holistic'],['right'],['inverted'],[],[],[[10]],JO
62,[[6]],[[63]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
63,[[6]],[[64]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
64,[[6]],[[65]],[[1]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
65,[[6]],[[66]],[[4]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],JO
66,[[6]],[[67]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
67,[[6]],[[68]],[[13]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
68,[[6]],[[69]],[[11]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
69,[[6]],[[70]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
70,[[6]],[[71]],[[13]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
71,[[6]],[[72]],[[16]],['low holistic'],['left'],['upright'],[],[],[[12]],JO
72,[[6]],[[73]],[[15]],['high holistic'],['left'],['upright'],[],[],[[8]],JO
73,[[6]],[[74]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[2]],JO
74,[[6]],[[75]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[6]],JO
75,[[6]],[[76]],[[5]],['low holistic'],['left'],['upright'],[],[],[[10]],JO
76,[[6]],[[77]],[[15]],['low holistic'],['left'],['upright'],[],[],[[4]],JO
77,[[6]],[[78]],[[18]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
78,[[6]],[[79]],[[5]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
79,[[6]],[[80]],[[7]],['low holistic'],['right'],['upright'],[],[],[[4]],JO
80,[[6]],[[81]],[[6]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
81,[[6]],[[82]],[[1]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
82,[[6]],[[83]],[[17]],['low holistic'],['right'],['inverted'],[],[],[[6]],JO
83,[[6]],[[84]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
84,[[6]],[[85]],[[6]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
85,[[6]],[[86]],[[1]],['low holistic'],['left'],['inverted'],[],[],[[6]],JO
86,[[6]],[[87]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
87,[[6]],[[88]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
88,[[6]],[[89]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[10]],JO
89,[[6]],[[90]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
90,[[6]],[[91]],[[20]],['high holistic'],['left'],['upright'],[],[],[[2]],JO
91,[[6]],[[92]],[[18]],['low holistic'],['left'],['upright'],[],[],[[6]],JO
92,[[6]],[[93]],[[15]],['high holistic'],['left'],['upright'],[],[],[[12]],JO
93,[[6]],[[94]],[[9]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
94,[[6]],[[95]],[[1]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
95,[[6]],[[96]],[[12]],['low holistic'],['fovea'],['upright'],[],[],[[0]],JO
96,[[6]],[[97]],[[17]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
97,[[6]],[[98]],[[2]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
98,[[6]],[[99]],[[2]],['high holistic'],['right'],['upright'],[],[],[[10]],JO
99,[[6]],[[100]],[[16]],['high holistic'],['right'],['inverted'],[],[],[[4]],JO
100,[[6]],[[101]],[[13]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
101,[[6]],[[102]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
102,[[6]],[[103]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
103,[[6]],[[104]],[[1]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
104,[[6]],[[105]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[8]],JO
105,[[6]],[[106]],[[1]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
106,[[6]],[[107]],[[17]],['low holistic'],['left'],['inverted'],[],[],[[6]],JO
107,[[6]],[[108]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[10]],JO
108,[[6]],[[109]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[10]],JO
109,[[6]],[[110]],[[14]],['low holistic'],['right'],['inverted'],[],[],[[8]],JO
110,[[6]],[[111]],[[15]],['low holistic'],['left'],['upright'],[],[],[[2]],JO
111,[[6]],[[112]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[8]],JO
112,[[6]],[[113]],[[7]],['high holistic'],['right'],['upright'],[],[],[[2]],JO
113,[[6]],[[114]],[[15]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
114,[[6]],[[115]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[8]],JO
115,[[6]],[[116]],[[8]],['high holistic'],['left'],['upright'],[],[],[[2]],JO
116,[[6]],[[117]],[[4]],['high holistic'],['left'],['upright'],[],[],[[6]],JO
117,[[6]],[[118]],[[17]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
118,[[6]],[[119]],[[9]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
119,[[6]],[[120]],[[17]],['high holistic'],['left'],['upright'],[],[],[[12]],JO
120,[[6]],[[121]],[[8]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
121,[[6]],[[122]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[4]],JO
122,[[6]],[[123]],[[8]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
123,[[6]],[[124]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[12]],JO
124,[[6]],[[125]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[4]],JO
125,[[6]],[[126]],[[17]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
126,[[6]],[[127]],[[15]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
127,[[6]],[[128]],[[5]],['high holistic'],['right'],['upright'],[],[],[[10]],JO
128,[[6]],[[129]],[[20]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
129,[[6]],[[130]],[[17]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
130,[[6]],[[131]],[[6]],['high holistic'],['left'],['upright'],[],[],[[12]],JO
131,[[6]],[[132]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[6]],JO
132,[[6]],[[133]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[12]],JO
133,[[6]],[[134]],[[5]],['low holistic'],['left'],['upright'],[],[],[[10]],JO
134,[[6]],[[135]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
135,[[6]],[[136]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
136,[[6]],[[137]],[[10]],['high holistic'],['right'],['upright'],[],[],[[2]],JO
137,[[6]],[[138]],[[12]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
138,[[6]],[[139]],[[14]],['high holistic'],['left'],['inverted'],[],[],[[12]],JO
139,[[6]],[[140]],[[7]],['high holistic'],['left'],['inverted'],[],[],[[10]],JO
140,[[6]],[[141]],[[19]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
141,[[6]],[[142]],[[18]],['low holistic'],['left'],['upright'],[],[],[[12]],JO
142,[[6]],[[143]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
143,[[6]],[[144]],[[2]],['high holistic'],['right'],['inverted'],[],[],[[6]],JO
144,[[6]],[[145]],[[13]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
145,[[6]],[[146]],[[3]],['high holistic'],['right'],['upright'],[],[],[[10]],JO
146,[[6]],[[147]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[6]],JO
147,[[6]],[[148]],[[15]],['low holistic'],['right'],['upright'],[],[],[[4]],JO
148,[[6]],[[149]],[[4]],['low holistic'],['left'],['upright'],[],[],[[6]],JO
149,[[6]],[[150]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
150,[[6]],[[151]],[[17]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
151,[[6]],[[152]],[[13]],['high holistic'],['fovea'],['upright'],[],[],[[0]],JO
152,[[6]],[[153]],[[19]],['low holistic'],['right'],['upright'],[],[],[[6]],JO
153,[[6]],[[154]],[[18]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
154,[[6]],[[155]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
155,[[6]],[[156]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[6]],JO
156,[[6]],[[157]],[[20]],['low holistic'],['right'],['upright'],[],[],[[6]],JO
157,[[6]],[[158]],[[10]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
158,[[6]],[[159]],[[6]],['high holistic'],['right'],['upright'],[],[],[[6]],JO
159,[[6]],[[160]],[[9]],['low holistic'],['left'],['inverted'],[],[],[[4]],JO
160,[[6]],[[161]],[[16]],['low holistic'],['right'],['inverted'],[],[],[[4]],JO
161,[[6]],[[162]],[[3]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
162,[[6]],[[163]],[[12]],['high holistic'],['left'],['upright'],[],[],[[8]],JO
163,[[6]],[[164]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
164,[[6]],[[165]],[[12]],['low holistic'],['fovea'],['inverted'],[],[],[[0]],JO
165,[[6]],[[166]],[[10]],['high holistic'],['right'],['inverted'],[],[],[[8]],JO
166,[[6]],[[167]],[[8]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
167,[[6]],[[168]],[[10]],['high holistic'],['left'],['upright'],[],[],[[2]],JO
168,[[6]],[[169]],[[16]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
169,[[6]],[[170]],[[19]],['high holistic'],['right'],['inverted'],[],[],[[10]],JO
170,[[6]],[[171]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
171,[[6]],[[172]],[[7]],['low holistic'],['left'],['upright'],[],[],[[10]],JO
172,[[6]],[[173]],[[11]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
173,[[6]],[[174]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[4]],JO
174,[[6]],[[175]],[[16]],['low holistic'],['right'],['upright'],[],[],[[4]],JO
175,[[6]],[[176]],[[16]],['low holistic'],['fovea'],['upright'],[],[],[[0]],JO
176,[[6]],[[177]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[12]],JO
177,[[6]],[[178]],[[17]],['high holistic'],['right'],['upright'],[],[],[[12]],JO
178,[[6]],[[179]],[[11]],['low holistic'],['right'],['upright'],[],[],[[10]],JO
179,[[6]],[[180]],[[7]],['high holistic'],['right'],['upright'],[],[],[[12]],JO
180,[[6]],[[181]],[[1]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
181,[[6]],[[182]],[[2]],['low holistic'],['right'],['upright'],[],[],[[2]],JO
182,[[6]],[[183]],[[4]],['low holistic'],['right'],['inverted'],[],[],[[4]],JO
183,[[6]],[[184]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[4]],JO
184,[[6]],[[185]],[[10]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
185,[[6]],[[186]],[[7]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
186,[[6]],[[187]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[4]],JO
187,[[6]],[[188]],[[14]],['high holistic'],['left'],['upright'],[],[],[[6]],JO
188,[[6]],[[189]],[[1]],['low holistic'],['left'],['upright'],[],[],[[6]],JO
189,[[6]],[[190]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
190,[[6]],[[191]],[[4]],['high holistic'],['right'],['inverted'],[],[],[[8]],JO
191,[[6]],[[192]],[[5]],['low holistic'],['right'],['upright'],[],[],[[6]],JO
192,[[6]],[[193]],[[4]],['high holistic'],['right'],['upright'],[],[],[[2]],JO
193,[[6]],[[194]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
194,[[6]],[[195]],[[4]],['low holistic'],['left'],['inverted'],[],[],[[2]],JO
195,[[6]],[[196]],[[12]],['high holistic'],['left'],['upright'],[],[],[[8]],JO
196,[[6]],[[197]],[[11]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
197,[[6]],[[198]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[10]],JO
198,[[6]],[[199]],[[19]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
199,[[6]],[[200]],[[19]],['low holistic'],['right'],['upright'],[],[],[[6]],JO
200,[[6]],[[201]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[8]],JO
201,[[6]],[[202]],[[17]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
202,[[6]],[[203]],[[1]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
203,[[6]],[[204]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[6]],JO
204,[[6]],[[205]],[[18]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
205,[[6]],[[206]],[[4]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
206,[[6]],[[207]],[[9]],['high holistic'],['right'],['inverted'],[],[],[[12]],JO
207,[[6]],[[208]],[[2]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
208,[[6]],[[209]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[8]],JO
209,[[6]],[[210]],[[11]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
210,[[6]],[[211]],[[15]],['low holistic'],['right'],['inverted'],[],[],[[2]],JO
211,[[6]],[[212]],[[5]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
212,[[6]],[[213]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[12]],JO
213,[[6]],[[214]],[[14]],['low holistic'],['left'],['inverted'],[],[],[[12]],JO
214,[[6]],[[215]],[[19]],['high holistic'],['left'],['inverted'],[],[],[[4]],JO
215,[[6]],[[216]],[[18]],['high holistic'],['right'],['inverted'],[],[],[[4]],JO
216,[[6]],[[217]],[[13]],['high holistic'],['left'],['inverted'],[],[],[[12]],JO
217,[[6]],[[218]],[[17]],['high holistic'],['right'],['upright'],[],[],[[2]],JO
218,[[6]],[[219]],[[10]],['low holistic'],['left'],['inverted'],[],[],[[10]],JO
219,[[6]],[[220]],[[7]],['low holistic'],['left'],['inverted'],[],[],[[4]],JO
220,[[6]],[[221]],[[5]],['low holistic'],['left'],['upright'],[],[],[[8]],JO
221,[[6]],[[222]],[[15]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
222,[[6]],[[223]],[[14]],['low holistic'],['left'],['upright'],[],[],[[2]],JO
223,[[6]],[[224]],[[1]],['high holistic'],['right'],['upright'],[],[],[[8]],JO
224,[[6]],[[225]],[[14]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
225,[[6]],[[226]],[[18]],['low holistic'],['left'],['upright'],[],[],[[6]],JO
226,[[6]],[[227]],[[19]],['low holistic'],['right'],['inverted'],[],[],[[10]],JO
227,[[6]],[[228]],[[16]],['low holistic'],['left'],['inverted'],[],[],[[2]],JO
228,[[6]],[[229]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[6]],JO
229,[[6]],[[230]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[12]],JO
230,[[6]],[[231]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[8]],JO
231,[[6]],[[232]],[[11]],['high holistic'],['left'],['upright'],[],[],[[8]],JO
232,[[6]],[[233]],[[20]],['high holistic'],['left'],['inverted'],[],[],[[10]],JO
233,[[6]],[[234]],[[5]],['high holistic'],['left'],['inverted'],[],[],[[2]],JO
234,[[6]],[[235]],[[7]],['low holistic'],['right'],['inverted'],[],[],[[6]],JO
235,[[6]],[[236]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[8]],JO
236,[[6]],[[237]],[[17]],['high holistic'],['left'],['upright'],[],[],[[2]],JO
237,[[6]],[[238]],[[11]],['high holistic'],['left'],['upright'],[],[],[[4]],JO
238,[[6]],[[239]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[2]],JO
239,[[6]],[[240]],[[20]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
240,[[6]],[[241]],[[4]],['low holistic'],['right'],['upright'],[],[],[[10]],JO
241,[[6]],[[242]],[[16]],['low holistic'],['right'],['upright'],[],[],[[12]],JO
242,[[6]],[[243]],[[18]],['low holistic'],['right'],['inverted'],[],[],[[4]],JO
243,[[6]],[[244]],[[9]],['high holistic'],['left'],['upright'],[],[],[[12]],JO
244,[[6]],[[245]],[[17]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
245,[[6]],[[246]],[[11]],['low holistic'],['right'],['inverted'],[],[],[[12]],JO
246,[[6]],[[247]],[[6]],['low holistic'],['left'],['upright'],[],[],[[12]],JO
247,[[6]],[[248]],[[18]],['low holistic'],['right'],['upright'],[],[],[[2]],JO
248,[[6]],[[249]],[[5]],['low holistic'],['right'],['inverted'],[],[],[[2]],JO
249,[[6]],[[250]],[[19]],['low holistic'],['left'],['inverted'],[],[],[[4]],JO
250,[[6]],[[251]],[[2]],['low holistic'],['left'],['inverted'],[],[],[[8]],JO
251,[[6]],[[252]],[[19]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
252,[[6]],[[253]],[[12]],['low holistic'],['left'],['upright'],[],[],[[12]],JO
253,[[6]],[[254]],[[7]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
254,[[6]],[[255]],[[11]],['high holistic'],['left'],['inverted'],[],[],[[8]],JO
255,[[6]],[[256]],[[19]],['low holistic'],['right'],['upright'],[],[],[[8]],JO
256,[[6]],[[257]],[[19]],['high holistic'],['fovea'],['inverted'],[],[],[[0]],JO
257,[[6]],[[258]],[[13]],['high holistic'],['right'],['inverted'],[],[],[[2]],JO
258,[[6]],[[259]],[[2]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
259,[[6]],[[260]],[[19]],['high holistic'],['left'],['upright'],[],[],[[10]],JO
260,[[6]],[[261]],[[7]],['high holistic'],['left'],['upright'],[],[],[[2]],JO
261,[[6]],[[262]],[[7]],['high holistic'],['fovea'],['upright'],[],[],[[0]],JO
262,[[6]],[[263]],[[9]],['high holistic'],['right'],['upright'],[],[],[[4]],JO
263,[[6]],[[264]],[[9]],['low holistic'],['left'],['upright'],[],[],[[4]],JO
