,SUBID,TRIAL,MOONEYID,MOONEYCATEGORY,LOC,COND,MOONEY_NAME,MOONEY_GENDER,ECCENTRICITY,RESPONSE,ACCURACY,RT,SUBINIT
0,[[1]],[[1]],[[13]],['low holistic'],['left'],['inverted'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.16527888]],EW
1,[[1]],[[2]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00010783]],EW
2,[[1]],[[3]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.0068025]],EW
3,[[1]],[[4]],[[8]],['high holistic'],['left'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.00010032]],EW
4,[[1]],[[5]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00011468]],EW
5,[[1]],[[6]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00010799]],EW
6,[[1]],[[7]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['male'],[[0]],[[9.98741016e-05]],EW
7,[[1]],[[8]],[[12]],['low holistic'],['fovea'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.03271693]],EW
8,[[1]],[[9]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.00010571]],EW
9,[[1]],[[10]],[[4]],['high holistic'],['left'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[9.84380022e-05]],EW
10,[[1]],[[11]],[[6]],['low holistic'],['left'],['inverted'],['U0106.bmp'],['male'],[],['female'],[[0]],[[9.89148393e-05]],EW
11,[[1]],[[12]],[[10]],['high holistic'],['left'],['upright'],['U0159.bmp'],['male'],[],['female'],[[0]],[[0.00010061]],EW
12,[[1]],[[13]],[[3]],['high holistic'],['right'],['inverted'],['U0020.bmp'],['male'],[],['female'],[[0]],[[3.79205914]],EW
13,[[1]],[[14]],[[8]],['high holistic'],['right'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.0320684]],EW
14,[[1]],[[15]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.18407967]],EW
15,[[1]],[[16]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.11322862]],EW
16,[[1]],[[17]],[[10]],['low holistic'],['left'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.02000509]],EW
17,[[1]],[[18]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.00012668]],EW
18,[[1]],[[19]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.00010043]],EW
19,[[1]],[[20]],[[1]],['high holistic'],['right'],['upright'],['U0006.bmp'],['female'],[],['male'],[[0]],[[9.87397507e-05]],EW
20,[[1]],[[21]],[[19]],['high holistic'],['right'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[9.96217132e-05]],EW
21,[[1]],[[22]],[[9]],['low holistic'],['right'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.01955704]],EW
22,[[1]],[[23]],[[9]],['low holistic'],['right'],['inverted'],['U0155.bmp'],['male'],[],['male'],[[1]],[[0.00010351]],EW
23,[[1]],[[24]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[2.90090362]],EW
24,[[1]],[[25]],[[2]],['low holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.14472823]],EW
25,[[1]],[[26]],[[4]],['low holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['male'],[[0]],[[0.0001046]],EW
26,[[1]],[[27]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[0.00010618]],EW
27,[[1]],[[28]],[[15]],['low holistic'],['left'],['upright'],['U0312.bmp'],['male'],[],['male'],[[1]],[[2.50856256]],EW
28,[[1]],[[29]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[9.91877168e-05]],EW
29,[[1]],[[30]],[[12]],['low holistic'],['left'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.06407218]],EW
30,[[1]],[[31]],[[7]],['low holistic'],['left'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.0061791]],EW
31,[[1]],[[32]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.000105]],EW
32,[[1]],[[33]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.03003864]],EW
33,[[1]],[[34]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.06205313]],EW
34,[[1]],[[35]],[[10]],['low holistic'],['fovea'],['inverted'],['U0159.bmp'],['female'],[],['male'],[[0]],[[3.07549734]],EW
35,[[1]],[[36]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[0.0001032]],EW
36,[[1]],[[37]],[[15]],['high holistic'],['left'],['upright'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00010564]],EW
37,[[1]],[[38]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[],['male'],[[0]],[[0.0001046]],EW
38,[[1]],[[39]],[[18]],['high holistic'],['right'],['inverted'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.00010102]],EW
39,[[1]],[[40]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.081582]],EW
40,[[1]],[[41]],[[7]],['low holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.00010555]],EW
41,[[1]],[[42]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[9.81902704e-05]],EW
42,[[1]],[[43]],[[13]],['high holistic'],['left'],['inverted'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.00011553]],EW
43,[[1]],[[44]],[[16]],['low holistic'],['right'],['inverted'],['U0335.bmp'],['female'],[],['female'],[[1]],[[2.87822011]],EW
44,[[1]],[[45]],[[20]],['low holistic'],['right'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.07535665]],EW
45,[[1]],[[46]],[[8]],['high holistic'],['fovea'],['upright'],['U0137.bmp'],['female'],[],['female'],[[1]],[[1.91166466]],EW
46,[[1]],[[47]],[[5]],['high holistic'],['right'],['inverted'],['U0076.bmp'],['female'],[],['female'],[[1]],[[0.03459665]],EW
47,[[1]],[[48]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[],['male'],[[0]],[[0.00044776]],EW
48,[[1]],[[49]],[[4]],['high holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[9.93842259e-05]],EW
49,[[1]],[[50]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[9.89576802e-05]],EW
50,[[1]],[[51]],[[11]],['high holistic'],['right'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.00010585]],EW
51,[[1]],[[52]],[[2]],['high holistic'],['fovea'],['upright'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.00030736]],EW
52,[[1]],[[53]],[[3]],['low holistic'],['fovea'],['inverted'],['U0020.bmp'],['female'],[],['male'],[[0]],[[4.85013575]],EW
53,[[1]],[[54]],[[10]],['high holistic'],['right'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[0.0001098]],EW
54,[[1]],[[55]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.00056327]],EW
55,[[1]],[[56]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.03268883]],EW
56,[[1]],[[57]],[[12]],['high holistic'],['left'],['inverted'],['U0178.bmp'],['male'],[],['female'],[[0]],[[0.03139844]],EW
57,[[1]],[[58]],[[17]],['high holistic'],['left'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.05481555]],EW
58,[[1]],[[59]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.00011694]],EW
59,[[1]],[[60]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[],['male'],[[0]],[[0.00010637]],EW
60,[[1]],[[61]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[4.3702183]],EW
61,[[1]],[[62]],[[4]],['high holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[9.79993492e-05]],EW
62,[[1]],[[63]],[[13]],['high holistic'],['right'],['inverted'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.0001055]],EW
63,[[1]],[[64]],[[2]],['low holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.00010894]],EW
64,[[1]],[[65]],[[9]],['high holistic'],['fovea'],['inverted'],['U0155.bmp'],['female'],[],['female'],[[1]],[[9.97157767e-05]],EW
65,[[1]],[[66]],[[2]],['low holistic'],['right'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.09175022]],EW
66,[[1]],[[67]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.09594929]],EW
67,[[1]],[[68]],[[6]],['high holistic'],['left'],['inverted'],['U0106.bmp'],['female'],[],['male'],[[0]],[[0.15765387]],EW
68,[[1]],[[69]],[[3]],['low holistic'],['right'],['inverted'],['U0020.bmp'],['female'],[],['male'],[[0]],[[9.89353284e-05]],EW
69,[[1]],[[70]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.00010957]],EW
70,[[1]],[[71]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.00012733]],EW
71,[[1]],[[72]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.00010652]],EW
72,[[1]],[[73]],[[20]],['low holistic'],['left'],['inverted'],['U0362.bmp'],['male'],[],['male'],[[1]],[[13.11029681]],EW
73,[[1]],[[74]],[[4]],['high holistic'],['left'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.02531676]],EW
74,[[1]],[[75]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00028081]],EW
75,[[1]],[[76]],[[14]],['high holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.0001695]],EW
76,[[1]],[[77]],[[19]],['low holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00010597]],EW
77,[[1]],[[78]],[[19]],['low holistic'],['left'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[1.86603645]],EW
78,[[1]],[[79]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[2.26350973]],EW
79,[[1]],[[80]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['male'],[[0]],[[9.86140221e-05]],EW
80,[[1]],[[81]],[[14]],['low holistic'],['left'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[0.00059683]],EW
81,[[1]],[[82]],[[17]],['low holistic'],['right'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.00011352]],EW
82,[[1]],[[83]],[[2]],['high holistic'],['left'],['inverted'],['U0014.bmp'],['male'],[],['male'],[[1]],[[0.0001078]],EW
83,[[1]],[[84]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00011848]],EW
84,[[1]],[[85]],[[3]],['high holistic'],['left'],['inverted'],['U0020.bmp'],['male'],[],['female'],[[0]],[[0.01229691]],EW
85,[[1]],[[86]],[[9]],['high holistic'],['fovea'],['upright'],['U0155.bmp'],['female'],[],['female'],[[1]],[[0.00010744]],EW
86,[[1]],[[87]],[[9]],['low holistic'],['left'],['upright'],['U0155.bmp'],['male'],[],['male'],[[1]],[[9.86326486e-05]],EW
87,[[1]],[[88]],[[4]],['high holistic'],['left'],['inverted'],['U0061.bmp'],['female'],[],['female'],[[1]],[[2.96321812]],EW
88,[[1]],[[89]],[[3]],['low holistic'],['left'],['inverted'],['U0020.bmp'],['female'],[],['female'],[[1]],[[0.04535574]],EW
89,[[1]],[[90]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.00010593]],EW
90,[[1]],[[91]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[0.0001004]],EW
91,[[1]],[[92]],[[4]],['high holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.00020784]],EW
92,[[1]],[[93]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00028458]],EW
93,[[1]],[[94]],[[10]],['high holistic'],['left'],['inverted'],['U0159.bmp'],['male'],[],['male'],[[1]],[[9.97884199e-05]],EW
94,[[1]],[[95]],[[2]],['low holistic'],['left'],['upright'],['U0014.bmp'],['male'],[],['female'],[[0]],[[0.0358882]],EW
95,[[1]],[[96]],[[13]],['high holistic'],['right'],['inverted'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.13815841]],EW
96,[[1]],[[97]],[[11]],['low holistic'],['right'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.00010473]],EW
97,[[1]],[[98]],[[1]],['high holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00033202]],EW
98,[[1]],[[99]],[[15]],['low holistic'],['right'],['upright'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00482576]],EW
99,[[1]],[[100]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['male'],[[1]],[[4.13236554]],EW
100,[[1]],[[101]],[[6]],['high holistic'],['right'],['upright'],['U0106.bmp'],['female'],[],['male'],[[0]],[[0.00010583]],EW
101,[[1]],[[102]],[[9]],['high holistic'],['left'],['upright'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.00023797]],EW
102,[[1]],[[103]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.04870702]],EW
103,[[1]],[[104]],[[7]],['low holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.00047221]],EW
104,[[1]],[[105]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['female'],[[1]],[[9.82582569e-05]],EW
105,[[1]],[[106]],[[3]],['low holistic'],['right'],['upright'],['U0020.bmp'],['female'],[],['male'],[[0]],[[9.73977149e-05]],EW
106,[[1]],[[107]],[[11]],['low holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[],['female'],[[1]],[[0.09282982]],EW
107,[[1]],[[108]],[[5]],['low holistic'],['right'],['upright'],['U0076.bmp'],['male'],[],['female'],[[0]],[[0.0001901]],EW
108,[[1]],[[109]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['female'],[[0]],[[0.00019917]],EW
109,[[1]],[[110]],[[3]],['high holistic'],['right'],['inverted'],['U0020.bmp'],['male'],[],['male'],[[1]],[[9.98871401e-05]],EW
110,[[1]],[[111]],[[5]],['low holistic'],['fovea'],['inverted'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.0001108]],EW
111,[[1]],[[112]],[[8]],['low holistic'],['left'],['inverted'],['U0137.bmp'],['male'],[],['female'],[[0]],[[0.0264393]],EW
112,[[1]],[[113]],[[4]],['low holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.00011134]],EW
113,[[1]],[[114]],[[15]],['high holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[0.00010526]],EW
114,[[1]],[[115]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[],['female'],[[1]],[[0.0001001]],EW
115,[[1]],[[116]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.00010684]],EW
116,[[1]],[[117]],[[20]],['low holistic'],['right'],['inverted'],['U0362.bmp'],['male'],[],['female'],[[0]],[[0.00027355]],EW
117,[[1]],[[118]],[[7]],['high holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.00011112]],EW
118,[[1]],[[119]],[[7]],['low holistic'],['left'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[9.85525548e-05]],EW
119,[[1]],[[120]],[[14]],['high holistic'],['right'],['inverted'],['U0228.bmp'],['male'],[],['female'],[[0]],[[0.00011665]],EW
120,[[1]],[[121]],[[14]],['high holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['female'],[[0]],[[9.80272889e-05]],EW
121,[[1]],[[122]],[[13]],['low holistic'],['right'],['upright'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.00011467]],EW
122,[[1]],[[123]],[[9]],['high holistic'],['right'],['inverted'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.00018419]],EW
123,[[1]],[[124]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[9.95853916e-05]],EW
124,[[1]],[[125]],[[18]],['high holistic'],['left'],['inverted'],['U0359.bmp'],['male'],[],['male'],[[1]],[[0.09811909]],EW
125,[[1]],[[126]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[9.91094857e-05]],EW
126,[[1]],[[127]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['female'],[[1]],[[9.78382304e-05]],EW
127,[[1]],[[128]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.00011602]],EW
128,[[1]],[[129]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.00014435]],EW
129,[[1]],[[130]],[[7]],['low holistic'],['fovea'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[12.5638698]],EW
130,[[1]],[[131]],[[19]],['high holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['female'],[[1]],[[0.11384733]],EW
131,[[1]],[[132]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[9.88654792e-05]],EW
132,[[1]],[[133]],[[12]],['low holistic'],['left'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.00010653]],EW
133,[[1]],[[134]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[9.97940078e-05]],EW
134,[[1]],[[135]],[[17]],['high holistic'],['right'],['inverted'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00010579]],EW
135,[[1]],[[136]],[[1]],['low holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.00029116]],EW
136,[[1]],[[137]],[[13]],['low holistic'],['right'],['inverted'],['U0181.bmp'],['male'],[],['female'],[[0]],[[3.46706025]],EW
137,[[1]],[[138]],[[11]],['high holistic'],['left'],['inverted'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.0416693]],EW
138,[[1]],[[139]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['male'],[[0]],[[0.00010572]],EW
139,[[1]],[[140]],[[12]],['low holistic'],['right'],['upright'],['U0178.bmp'],['female'],[],['female'],[[1]],[[2.369233]],EW
140,[[1]],[[141]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[9.86130908e-05]],EW
141,[[1]],[[142]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['male'],[[1]],[[0.00010596]],EW
142,[[1]],[[143]],[[19]],['low holistic'],['left'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[1.97701776]],EW
143,[[1]],[[144]],[[19]],['low holistic'],['right'],['inverted'],['U0361.bmp'],['female'],[],['male'],[[0]],[[0.00040971]],EW
144,[[1]],[[145]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[],['male'],[[1]],[[1.49160959]],EW
145,[[1]],[[146]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[9.86354426e-05]],EW
146,[[1]],[[147]],[[10]],['high holistic'],['right'],['upright'],['U0159.bmp'],['male'],[],['male'],[[1]],[[9.9344179e-05]],EW
147,[[1]],[[148]],[[11]],['high holistic'],['left'],['upright'],['U0164.bmp'],['female'],[],['male'],[[0]],[[0.00010597]],EW
148,[[1]],[[149]],[[7]],['low holistic'],['left'],['inverted'],['U0107.bmp'],['female'],[],['female'],[[1]],[[0.00010405]],EW
149,[[1]],[[150]],[[1]],['low holistic'],['right'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00019949]],EW
150,[[1]],[[151]],[[20]],['high holistic'],['right'],['inverted'],['U0362.bmp'],['female'],[],['male'],[[0]],[[9.82144848e-05]],EW
151,[[1]],[[152]],[[14]],['low holistic'],['right'],['upright'],['U0228.bmp'],['male'],[],['male'],[[1]],[[1.44687501]],EW
152,[[1]],[[153]],[[19]],['high holistic'],['left'],['upright'],['U0361.bmp'],['female'],[],['male'],[[0]],[[3.9650111]],EW
153,[[1]],[[154]],[[7]],['high holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['female'],[[1]],[[1.77381041]],EW
154,[[1]],[[155]],[[16]],['low holistic'],['fovea'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00010021]],EW
155,[[1]],[[156]],[[17]],['high holistic'],['right'],['upright'],['U0346.bmp'],['male'],[],['male'],[[1]],[[0.00010609]],EW
156,[[1]],[[157]],[[12]],['low holistic'],['right'],['inverted'],['U0178.bmp'],['female'],[],['female'],[[1]],[[0.00037951]],EW
157,[[1]],[[158]],[[16]],['high holistic'],['left'],['upright'],['U0335.bmp'],['female'],[],['male'],[[0]],[[0.00011804]],EW
158,[[1]],[[159]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[],['male'],[[0]],[[0.00010544]],EW
159,[[1]],[[160]],[[4]],['low holistic'],['right'],['upright'],['U0061.bmp'],['female'],[],['female'],[[1]],[[0.00034764]],EW
160,[[1]],[[161]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['female'],[[0]],[[5.85530078]],EW
161,[[1]],[[162]],[[9]],['high holistic'],['right'],['upright'],['U0155.bmp'],['female'],[],['male'],[[0]],[[0.02899844]],EW
162,[[1]],[[163]],[[20]],['low holistic'],['left'],['upright'],['U0362.bmp'],['male'],[],['male'],[[1]],[[0.07548171]],EW
163,[[1]],[[164]],[[18]],['high holistic'],['right'],['upright'],['U0359.bmp'],['male'],[],['female'],[[0]],[[1.83150691]],EW
164,[[1]],[[165]],[[14]],['low holistic'],['left'],['inverted'],['U0228.bmp'],['male'],[],['male'],[[1]],[[2.92525411]],EW
165,[[1]],[[166]],[[10]],['low holistic'],['fovea'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[1.80260801]],EW
166,[[1]],[[167]],[[20]],['high holistic'],['fovea'],['inverted'],['U0362.bmp'],['female'],[],['female'],[[1]],[[0.06481546]],EW
167,[[1]],[[168]],[[17]],['low holistic'],['fovea'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[1.67100462]],EW
168,[[1]],[[169]],[[15]],['low holistic'],['left'],['inverted'],['U0312.bmp'],['male'],[],['female'],[[0]],[[2.49969529]],EW
169,[[1]],[[170]],[[16]],['high holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.07028556]],EW
170,[[1]],[[171]],[[6]],['low holistic'],['right'],['inverted'],['U0106.bmp'],['male'],[],['female'],[[0]],[[1.50050097]],EW
171,[[1]],[[172]],[[12]],['high holistic'],['left'],['upright'],['U0178.bmp'],['male'],[],['male'],[[1]],[[1.70551856]],EW
172,[[1]],[[173]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.00010607]],EW
173,[[1]],[[174]],[[2]],['low holistic'],['right'],['inverted'],['U0014.bmp'],['male'],[],['female'],[[0]],[[3.69301387]],EW
174,[[1]],[[175]],[[7]],['low holistic'],['right'],['inverted'],['U0107.bmp'],['female'],[],['male'],[[0]],[[0.17700631]],EW
175,[[1]],[[176]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[0.00010032]],EW
176,[[1]],[[177]],[[5]],['low holistic'],['left'],['upright'],['U0076.bmp'],['male'],[],['female'],[[0]],[[3.28827705]],EW
177,[[1]],[[178]],[[7]],['low holistic'],['right'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[9.84771177e-05]],EW
178,[[1]],[[179]],[[8]],['low holistic'],['right'],['upright'],['U0137.bmp'],['male'],[],['male'],[[1]],[[0.01419787]],EW
179,[[1]],[[180]],[[1]],['high holistic'],['left'],['inverted'],['U0006.bmp'],['female'],[],['female'],[[1]],[[4.27549821]],EW
180,[[1]],[[181]],[[10]],['low holistic'],['right'],['upright'],['U0159.bmp'],['female'],[],['female'],[[1]],[[1.90569633]],EW
181,[[1]],[[182]],[[16]],['high holistic'],['right'],['upright'],['U0335.bmp'],['female'],[],['female'],[[1]],[[0.00010654]],EW
182,[[1]],[[183]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[0.00037509]],EW
183,[[1]],[[184]],[[13]],['low holistic'],['right'],['upright'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.10913134]],EW
184,[[1]],[[185]],[[6]],['high holistic'],['fovea'],['upright'],['U0106.bmp'],['female'],[],['female'],[[1]],[[1.92940806]],EW
185,[[1]],[[186]],[[8]],['high holistic'],['right'],['inverted'],['U0137.bmp'],['female'],[],['female'],[[1]],[[1.45889526]],EW
186,[[1]],[[187]],[[19]],['high holistic'],['left'],['upright'],['U0361.bmp'],['female'],[],['female'],[[1]],[[2.23975062]],EW
187,[[1]],[[188]],[[1]],['low holistic'],['left'],['upright'],['U0006.bmp'],['female'],[],['female'],[[1]],[[1.24721564]],EW
188,[[1]],[[189]],[[9]],['low holistic'],['left'],['inverted'],['U0155.bmp'],['male'],[],['female'],[[0]],[[9.93963331e-05]],EW
189,[[1]],[[190]],[[17]],['low holistic'],['left'],['upright'],['U0346.bmp'],['female'],[],['female'],[[1]],[[1.38133242]],EW
190,[[1]],[[191]],[[13]],['high holistic'],['right'],['upright'],['U0181.bmp'],['female'],[],['male'],[[0]],[[1.40608511]],EW
191,[[1]],[[192]],[[7]],['low holistic'],['left'],['upright'],['U0107.bmp'],['female'],[],['male'],[[0]],[[1.61169911]],EW
192,[[1]],[[193]],[[13]],['low holistic'],['fovea'],['upright'],['U0181.bmp'],['male'],[],['male'],[[1]],[[0.96562947]],EW
193,[[1]],[[194]],[[20]],['low holistic'],['right'],['inverted'],['U0362.bmp'],['male'],[],['female'],[[0]],[[0.00010726]],EW
194,[[1]],[[195]],[[13]],['low holistic'],['left'],['upright'],['U0181.bmp'],['male'],[],['female'],[[0]],[[0.0001058]],EW
